,name,size_apple,price_apple,reviews_apple,rating_apple,category_apple,profit_apple,size_google,size_o_google,price_google,reviews_google,rating_google,category_google,installs_google,profit_google
122,Can Knockdown 3,151.453696,1.99,1135,4.5,Games,2258.65,19.0,19M,0.0,349503.0,4.1,GAME,10000000.0,0.0
123,Photo Editor-,46.732288,0.0,9095,4.5,Photo & Video,0.0,,Varies with device,0.0,68070.0,4.3,PHOTOGRAPHY,5000000.0,0.0
124,Traffic Racer,132.160512,0.0,22458,4.5,Games,0.0,53.0,53M,0.0,5387639.0,4.5,GAME,100000000.0,0.0
125,Tinder,126.72,0.0,143040,3.5,Lifestyle,0.0,68.0,68M,0.0,2789775.0,4.0,LIFESTYLE,100000000.0,0.0
126,True Skate,66.697216,1.99,11065,4.0,Games,22019.35,73.0,73M,1.99,129409.0,4.4,SPORTS,1000000.0,257523.91
127,STARZ,110.11174399999999,0.0,8971,3.5,Entertainment,0.0,,Varies with device,0.0,88185.0,4.3,ENTERTAINMENT,10000000.0,0.0
128,WWE,88.15001600000001,0.0,7553,4.0,Entertainment,0.0,20.0,20M,0.0,736864.0,4.5,ENTERTAINMENT,10000000.0,0.0
129,ClassDojo,80.195584,0.0,35440,4.5,Education,0.0,59.0,59M,0.0,148550.0,4.4,EDUCATION,10000000.0,0.0
130,NASCAR MOBILE,70.040576,0.0,16385,4.0,Sports,0.0,21.0,21M,0.0,80900.0,4.2,SPORTS,1000000.0,0.0
131,Candy Crush Saga,222.84697599999998,0.0,961794,4.5,Games,0.0,74.0,74M,0.0,22426677.0,4.4,GAME,500000000.0,0.0
132,Angry Birds Friends,190.38208,0.0,23655,4.0,Games,0.0,48.0,48M,0.0,829753.0,4.2,GAME,50000000.0,0.0
133,Real Racing 3,874.1847039999999,0.0,164483,4.5,Games,0.0,71.0,71M,0.0,354384.0,4.5,FAMILY,10000000.0,0.0
134,Angry Birds Star Wars,177.338368,0.0,34138,4.5,Games,0.0,45.0,45M,0.0,1218055.0,4.3,GAME,100000000.0,0.0
135,T-Mobile,65.560576,0.0,19977,4.0,Productivity,0.0,,Varies with device,0.0,482630.0,4.3,TOOLS,10000000.0,0.0
136,Bloons TD 5,113.020928,2.99,42078,4.5,Games,125813.22000000002,94.0,94M,2.99,190086.0,4.6,FAMILY,1000000.0,568357.14
137,Hill Climb Racing,108.32281599999999,0.0,108183,4.5,Games,0.0,63.0,63M,0.0,8923587.0,4.4,GAME,100000000.0,0.0
138,"sugar, sugar",25.718784,0.99,139,4.5,Games,137.61,9.5,9.5M,1.2,1405.0,4.2,FAMILY,10000.0,1686.0
139,Timehop,67.424256,0.0,49510,3.5,Social Networking,0.0,16.0,16M,0.0,161610.0,4.1,SOCIAL,5000000.0,0.0
140,LEGO Batman: DC Super Heroes,1139.26144,4.99,7717,4.0,Games,38507.83,5.8,5.8M,4.99,2557.0,4.2,FAMILY,50000.0,12759.43
141,Temple Run 2,158.02572800000002,0.0,295211,4.5,Games,0.0,62.0,62M,0.0,8118609.0,4.3,GAME,500000000.0,0.0
142,Afterlight,76.23168000000001,0.99,14057,4.5,Photo & Video,13916.43,35.0,35M,0.0,50893.0,4.3,PHOTOGRAPHY,1000000.0,0.0
143,Pou,40.968191999999995,0.0,3783,4.5,Games,0.0,24.0,24M,0.0,10485308.0,4.3,GAME,500000000.0,0.0
144,Injustice: Gods Among Us,1829.599232,0.0,612532,4.5,Games,0.0,32.0,32M,0.0,2440877.0,4.4,GAME,10000000.0,0.0
145,Ingress,126.82547199999999,0.0,2739,3.5,Games,0.0,43.0,43M,0.0,391325.0,4.3,GAME,10000000.0,0.0
146,Threema,24.925183999999998,2.99,196,4.5,Social Networking,586.0400000000002,,Varies with device,2.99,51110.0,4.5,COMMUNICATION,1000000.0,152818.90000000002
147,Sonic Dash,186.687488,0.0,418033,4.5,Games,0.0,75.0,75M,0.0,3778921.0,4.5,GAME,100000000.0,0.0
148,Microsoft Word,334.425088,0.0,47999,4.5,Productivity,0.0,,Varies with device,0.0,2084126.0,4.5,PRODUCTIVITY,500000000.0,0.0
149,Microsoft PowerPoint,336.831488,0.0,10939,4.0,Productivity,0.0,,Varies with device,0.0,618798.0,4.5,PRODUCTIVITY,100000000.0,0.0
150,Microsoft Excel,323.411968,0.0,24430,4.5,Productivity,0.0,,Varies with device,0.0,1079491.0,4.5,PRODUCTIVITY,100000000.0,0.0
151,PicsArt Photo Studio: Collage Maker & Pic Editor,124.726272,0.0,29078,4.5,Photo & Video,0.0,34.0,34M,0.0,7594559.0,4.5,PHOTOGRAPHY,100000000.0,0.0
152,VSCO,98.57638399999999,0.0,11174,3.5,Photo & Video,0.0,,Varies with device,0.0,753115.0,4.4,PHOTOGRAPHY,50000000.0,0.0
153,H&M,27.372544,0.0,687,3.0,Shopping,0.0,14.0,14M,0.0,41941.0,3.7,LIFESTYLE,10000000.0,0.0
154,Nick,38.045696,0.0,13237,3.5,Entertainment,0.0,25.0,25M,0.0,123279.0,4.2,ENTERTAINMENT,10000000.0,0.0
155,Real Basketball,70.336512,0.0,198050,4.5,Games,0.0,,Varies with device,0.0,1605267.0,4.5,SPORTS,10000000.0,0.0
156,Plants vs. Zombies™ 2,98.507776,0.0,267394,4.5,Games,0.0,15.0,15M,0.0,567632.0,4.4,FAMILY,10000000.0,0.0
157,Smash Hit,97.50528,0.0,126233,4.5,Games,0.0,79.0,79M,0.0,4147718.0,4.5,GAME,100000000.0,0.0
158,Farm Heroes Saga,262.421504,0.0,187579,4.5,Games,0.0,70.0,70M,0.0,7614130.0,4.4,GAME,100000000.0,0.0
159,Dr. Panda Supermarket,138.58918400000002,2.99,342,4.0,Education,1022.58,58.0,58M,2.99,1357.0,4.2,FAMILY,50000.0,4057.43
160,FINAL FANTASY V,167.030784,14.99,1808,4.5,Games,27101.92,4.2,4.2M,7.99,15924.0,4.5,FAMILY,100000.0,127232.76
161,Asphalt 8: Airborne,1777.94048,0.0,188568,4.5,Games,0.0,92.0,92M,0.0,8389714.0,4.5,GAME,100000000.0,0.0
162,Talking Ginger 2,81.37216,0.0,8311,4.5,Entertainment,0.0,49.0,49M,0.0,702975.0,4.2,ENTERTAINMENT,50000000.0,0.0
163,Yahoo Weather,123.047936,0.0,112603,4.5,Weather,0.0,,Varies with device,0.0,1312037.0,4.4,WEATHER,10000000.0,0.0
164,Township,175.876096,0.0,80801,4.5,Games,0.0,,Varies with device,0.0,4451317.0,4.6,FAMILY,50000000.0,0.0
165,Angry Birds Go!,499.58092800000003,0.0,75793,4.0,Games,0.0,82.0,82M,0.0,3846378.0,4.2,GAME,50000000.0,0.0
166,Hangouts,94.75072,0.0,36404,4.0,Social Networking,0.0,,Varies with device,0.0,3419249.0,4.0,COMMUNICATION,1000000000.0,0.0
167,"Alizay, pirate girl",186.402816,2.99,14,4.5,Book,41.86,11.0,11M,2.99,197.0,4.5,FAMILY,1000.0,589.0300000000002
168,Verizon Cloud,104.74905600000001,0.0,6482,4.5,Productivity,0.0,,Varies with device,0.0,185632.0,4.3,PRODUCTIVITY,50000000.0,0.0
169,Seven - 7 Minute Workout Training Challenge,142.803968,0.0,6808,4.5,Health & Fitness,0.0,,Varies with device,0.0,75571.0,4.5,HEALTH_AND_FITNESS,1000000.0,0.0
170,Trivia Crack,265.484288,0.0,393469,4.5,Games,0.0,95.0,95M,0.0,6427773.0,4.5,GAME,100000000.0,0.0
171,Toca Builders,87.713792,2.99,5102,4.5,Education,15254.98,,Varies with device,3.99,3328.0,4.2,FAMILY,100000.0,13278.72
172,Episode - Choose Your Story,182.361088,0.0,155903,4.5,Games,0.0,,Varies with device,0.0,1841061.0,4.3,GAME,50000000.0,0.0
173,My Talking Tom,255.74707200000003,0.0,123859,4.5,Games,0.0,,Varies with device,0.0,14891223.0,4.5,GAME,500000000.0,0.0
174,My Talking Pet,51.00544,1.99,9035,4.5,Entertainment,17979.65,,Varies with device,4.99,6238.0,4.6,ENTERTAINMENT,100000.0,31127.620000000006
175,Fishdom,181.92486399999999,0.0,39217,4.5,Games,0.0,,Varies with device,0.0,2157930.0,4.6,GAME,10000000.0,0.0
176,Battleheart Legacy,889.060352,4.99,3376,4.5,Games,16846.24,7.4,7.4M,4.99,7420.0,4.6,FAMILY,50000.0,37025.8
177,Boom Beach,153.955328,0.0,241929,4.5,Games,0.0,95.0,95M,0.0,5591653.0,4.5,FAMILY,50000000.0,0.0
178,WGT Golf Game by Topgolf,250.150912,0.0,53285,4.5,Games,0.0,57.0,57M,0.0,148083.0,4.3,SPORTS,10000000.0,0.0
179,Frozen Free Fall,272.47104,0.0,50593,4.5,Games,0.0,37.0,37M,0.0,1574197.0,4.3,FAMILY,50000000.0,0.0
180,Shadow Fight 2,144.713728,0.0,99206,4.5,Games,0.0,88.0,88M,0.0,10979062.0,4.6,GAME,100000000.0,0.0
181,Geometry Dash Lite,69.076992,0.0,370370,5.0,Games,0.0,58.0,58M,0.0,6181640.0,4.5,GAME,100000000.0,0.0
182,Cooking Fever,106.80832,0.0,107797,4.5,Games,0.0,82.0,82M,0.0,3197865.0,4.5,GAME,100000000.0,0.0
