,name,size,price,reviews,rating,category,profit
152,The Sims 3,430.128128,6.99,54408,3.5,Games,380311.92
153,"Chess Pro with Coach - Learn,Play & Online Friends",69.960704,9.99,8138,4.0,Games,81298.62
154,Guess My Age  Math Magic,0.767126,0.0,123190,3.0,Education,0.0
155,Crush the Castle,12.996628,0.99,23810,3.5,Games,23571.9
156,2016 U.S. Open Golf Championship,139.5456,0.0,54192,4.0,Sports,0.0
157,"The Championships, Wimbledon 2016 - Tennis Grand Slam",130.394112,0.0,20953,4.0,Sports,0.0
158,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,101.925888,9.99,71609,4.5,Music,715373.91
159,NBC News,52.95104,0.0,32881,3.5,News,0.0
160,"Grindr - Gay and same sex guys chat, meet and date",80.4096,0.0,23201,2.5,Social Networking,0.0
161,Whole Foods Market,137.312256,0.0,17906,3.0,Shopping,0.0
162,NAVIGON Europe,144.412672,74.99,927,3.5,Navigation,69515.73
163,Virtual Families,27.746273,1.99,18920,3.5,Games,37650.8
164,Sparkasse+,119.648256,0.99,30,3.0,Finance,29.7
165,Sparkasse - Your mobile branch,119.574528,0.0,77,3.0,Finance,0.0
166,Sleep Cycle alarm clock,79.315968,0.0,104539,4.5,Health & Fitness,0.0
167,FACEinHOLE®,12.818432,0.99,4016,4.0,Photo & Video,3975.84
168,Harvest - Select the Best Produce,18.16576,1.99,299,4.0,Food & Drink,595.01
169,WORMS,253.83424,1.99,5758,4.0,Games,11458.42
170,Pixel Starships™ : 8Bit MMORPG,69.083136,0.0,5565,4.5,Games,0.0
171,Traffic Rush,8.573952,0.99,213092,3.5,Games,210961.08
172,MyRadar NOAA Weather Radar Forecast,127.284224,0.0,150158,4.5,Weather,0.0
173,Resident Evil 4: PLATINUM,81.374398,4.99,6046,4.0,Games,30169.54
174,"Waze - GPS Navigation, Maps & Real-time Traffic",94.139392,0.0,345046,4.5,Navigation,0.0
175,Cartoon Wars,13.216994,0.99,35930,3.5,Games,35570.7
176,Moto X Mayhem,21.01021,0.99,22557,4.0,Games,22331.43
177,Fantasy Football Manager - FFM for FPL,35.99872,0.99,292,3.0,Sports,289.08
178,Spotify Music,132.51072,0.0,878563,4.5,Music,0.0
179,McDo France,37.001216,0.0,22,3.5,Food & Drink,0.0
180,PGA Championship 2016 – Baltusrol Golf Club,64.147456,0.0,10472,3.5,Sports,0.0
181,BFMTV : l'info en continu,100.779008,0.0,115,4.0,News,0.0
182,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",123.718656,1.99,13915,4.5,Weather,27690.85
183,Spider:  The Secret of Bryce Manor,126.312448,1.99,6780,4.0,Games,13492.2
184,My Measures PRO,79.88224,7.99,1701,4.0,Productivity,13590.99
185,Food Additives Checker (E Numbers),6.418432,1.99,6,3.5,Health & Fitness,11.94
186,SFR Mon Compte,74.093568,0.0,19,3.0,Utilities,0.0
187,Baby Connect (Activity Log),12.937216,4.99,3483,4.5,Medical,17380.170000000002
188,Epson iPrint,53.388288,0.0,2838,3.0,Photo & Video,0.0
189,Mad Libs,118.498304,0.0,117889,3.0,Entertainment,0.0
190,BATTLE BEARS: Zombies!,103.197675,0.99,50710,3.5,Games,50202.9
191,Hurricane Tracker,24.574976,2.99,3960,4.5,Weather,11840.400000000001
192,NFL Sunday Ticket,96.093184,0.0,24258,3.0,Entertainment,0.0
193,2016 US Open Tennis Championships,77.700096,0.0,37522,4.0,Sports,0.0
194,Dropbox,180.804608,0.0,49578,3.5,Productivity,0.0
195,Wa Kingyo - Goldfish Pond,56.397824,0.99,626,4.0,Entertainment,619.74
196,Monkey Preschool Lunchbox,229.272576,1.99,9286,4.0,Games,18479.14
197,Yahoo Fantasy Sports,131.00032,0.0,190670,3.5,Sports,0.0
198,Gaia GPS Classic,53.097472,19.99,2429,4.5,Navigation,48555.71
199,iLoan Calc (Loan calculator),3.375104,3.99,0,0.0,Finance,0.0
200,Geocaching®,108.166144,0.0,12811,3.5,Navigation,0.0
201,Camera+,89.187328,1.99,32338,4.0,Photo & Video,64352.62
202,Alter Ego,13.647872,4.99,262,4.0,Games,1307.38
203,Parking Mania,123.544576,0.99,9657,4.5,Games,9560.43
204,Sudoku⁺,1.608704,2.99,18332,4.5,Games,54812.68
205,Period Tracker Lite,50.169856,0.0,53620,4.0,Health & Fitness,0.0
206,Camera Plus: For Macro Photos & Remote Photography,101.18144,0.99,38533,2.5,Photo & Video,38147.67
207,The perfect Egg timer,15.32928,0.99,40,3.5,Food & Drink,39.6
208,Letter Quiz - alphabet tracing for kids,31.845376,1.99,472,4.0,Games,939.28
209,Starbucks,135.032832,0.0,303856,4.5,Food & Drink,0.0
210,央视影音-海量央视内容高清直播,54.648832,0.0,2070,2.5,Sports,0.0
211,Bloons TD,8.432232,2.99,7941,4.0,Games,23743.59
212,Weight Watchers,230.720512,0.0,136833,3.5,Health & Fitness,0.0
213,"CNN: Breaking US & World News, Live Video",80.211968,0.0,112886,3.5,News,0.0
214,Gilt,148.201472,0.0,26353,3.5,Shopping,0.0
215,TRUTH or DARE!!! - FREE,20.795392,0.0,171055,3.0,Entertainment,0.0
216,Canabalt,27.93472,2.99,4540,4.0,Games,13574.6
217,Alipay - Makes Life Easy,208.309248,0.0,1926,3.0,Lifestyle,0.0
218,Scanner911 Pro,33.81248,3.99,14345,4.0,News,57236.55
219,Daily Teachings,20.298752,4.99,1340,4.5,Lifestyle,6686.6
220,Scanner Pro - PDF document scanner app with OCR,101.346304,3.99,31912,4.5,Business,127328.88
221,Twitter,210.569216,0.0,354058,3.5,News,0.0
222,"Trainline UK: Live Train Times, Tickets & Planner",110.198784,0.0,248,4.0,Travel,0.0
223,CBS News - Watch Free Live Breaking News,78.047232,0.0,11691,3.5,News,0.0
224,iOvilus,9.946112,1.99,381,3.0,Entertainment,758.1899999999999
225,The Impossible Quiz!,44.652544,0.0,18884,4.0,Entertainment,0.0
226,WolframAlpha,30.369792,2.99,7410,4.0,Reference,22155.9
227,Catan,376.17152,1.99,15175,4.0,Games,30198.25
228,ScanBizCards Business Card Reader,96.815104,0.99,3166,4.0,Business,3134.34
229,"Walgreens – Pharmacy, Photo, Coupons and Shopping",169.138176,0.0,88885,4.5,Shopping,0.0
230,King of Dragon Pass,364.490752,9.99,882,5.0,Games,8811.18
231,Stylebook,44.135424,3.99,1729,4.0,Lifestyle,6898.71
232,NBA,112.074752,0.0,43682,3.5,Sports,0.0
233,Blower,98.942976,0.99,861,2.0,Entertainment,852.39
234,My Cycles Period and Ovulation Tracker,77.686784,0.0,7469,3.5,Health & Fitness,0.0
235,"Kmart – Download Now, Shop Online & Pick Up Today!",94.496768,0.0,4186,3.5,Shopping,0.0
236,优酷视频,204.959744,0.0,4885,3.5,Entertainment,0.0
237,DOOM Classic,32.796672,4.99,3970,4.0,Games,19810.3
238,SoundCloud - Music & Audio,105.009152,0.0,135744,4.0,Music,0.0
239,imo video calls and chat,22.562816,0.0,18841,4.0,Social Networking,0.0
240,Plane Finder - Flight Tracker,52.632576,3.99,1438,4.0,Navigation,5737.62
241,"Runtastic Running, Jogging and Walking Tracker",151.38816,0.0,10298,4.5,Health & Fitness,0.0
242,iFiles,47.323136,0.99,1842,3.5,Productivity,1823.58
243,TeachMe: Kindergarten,59.846656,1.99,2548,4.0,Education,5070.5199999999995
244,Moorhuhn Deluxe - Crazy Chicken,27.807744,0.99,319,3.0,Games,315.81
245,Victoria’s Secret – The Sexiest Bras & Lingerie,60.976128,0.0,34507,3.5,Shopping,0.0
246,MONOPOLY Game,194.386944,0.99,26482,3.5,Games,26217.18
247,n-tv Nachrichten,49.470464,0.0,273,3.0,News,0.0
248,Shazam Encore,147.11808,2.99,8331,4.0,Music,24909.690000000002
249,Harry Potter: Spells,125.411328,0.99,17023,4.0,Games,16852.77
250,First Words Deluxe,63.316992,4.99,1101,4.0,Games,5493.99
251,Clay Hunt,15.31392,0.99,1193,4.0,Games,1181.07
252,Dream Team - be your own fantasy football manager,69.81632,0.0,35,2.5,Sports,0.0
253,Jet Car Stunts,32.84891,1.99,4088,4.0,Games,8135.12
254,Call of Duty: Zombies,52.821364,4.99,63943,4.0,Games,319075.57
255,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",146.507776,0.0,70286,3.0,Shopping,0.0
256,AirWatch Agent,24.747008,0.0,1150,2.5,Business,0.0
257,Shop Savvy Barcode Scanner - Price Compare & Deals,89.517056,0.0,54630,2.5,Shopping,0.0
258,Voice Changer Plus,40.722432,0.0,98777,3.0,Entertainment,0.0
259,CatPaint,73.332736,0.99,649,4.0,Photo & Video,642.51
260,Redbox,83.90656,0.0,60236,3.0,Entertainment,0.0
261,クックパッド - No.1料理レシピ検索アプリ,76.644352,0.0,115,3.5,Food & Drink,0.0
262,Trenches,37.340259,0.99,26732,4.0,Games,26464.68
263,The Christmas List,26.1376,1.99,2722,4.5,Shopping,5416.78
264,Macy's,107.81696,0.0,11013,3.5,Shopping,0.0
265,Calorie Counter & Diet Tracker by MyFitnessPal,152.700928,0.0,507706,4.5,Health & Fitness,0.0
266,BlaBlaCar - Trusted Carpooling,112.024576,0.0,397,4.5,Travel,0.0
267,Refills Calendar - Scheduler - Note,35.864576,9.99,196,4.0,Productivity,1958.04
268,5-0 Radio Pro Police Scanner (Extra Feeds),49.594368,3.99,24553,4.0,News,97966.47
269,Hipstamatic,114.081792,2.99,12557,3.5,Photo & Video,37545.43
270,Sing Karaoke Songs Unlimited with StarMaker,91.267072,0.0,26227,4.0,Music,0.0
271,TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,8.82176,4.99,28388,5.0,Business,141656.12
272,Positivity with Andrew Johnson,69.513216,2.99,282,4.0,Health & Fitness,843.1800000000001
273,Rat On A Scooter XL,7.76704,0.99,19296,4.0,Games,19103.04
274,IMDb Movies & TV - Trailers and Showtimes,88.702976,0.0,183425,4.5,Entertainment,0.0
275,Angry Birds,175.966208,0.0,824451,4.5,Games,0.0
276,DB Navigator,84.791296,0.0,512,3.5,Travel,0.0
277,Video Calls with Santa,27.997184,2.99,315,3.5,Lifestyle,941.85
278,Voyages-sncf.com : book train and bus tickets,131.463168,0.0,268,3.5,Travel,0.0
279,The Font Game,5.415,1.99,438,4.5,Games,871.62
280,ImmobilienScout24: Real Estate Search in Germany,126.867456,0.0,187,3.5,Navigation,0.0
281,Grand Theft Auto: Chinatown Wars,878.88384,4.99,15142,4.0,Games,75558.58
282,Southwest Airlines,88.773632,0.0,30552,3.0,Travel,0.0
283,The Sims 3 World Adventures,812.758016,2.99,9744,3.5,Games,29134.56
284,Star Chart,28.616704,0.0,13482,4.5,Education,0.0
285,TaxCaster – Free tax refund calculator,7.11168,0.0,17516,3.5,Finance,0.0
286,Glow Hockey 2 FREE,34.056767,0.0,186653,3.5,Games,0.0
287,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",21.450752,0.99,10031,4.0,Entertainment,9930.69
288,TV SPIELFILM - TV Programm mit Live TV,97.87904,0.0,81,3.0,Entertainment,0.0
289,All-in-1 Logic GameBox,22.299021,0.99,9854,4.0,Games,9755.46
290,Roadside America,10.231808,2.99,1093,4.0,Travel,3268.07
291,Pocket Yoga,132.48,2.99,4475,4.5,Health & Fitness,13380.250000000002
292,Sonic the Hedgehog 2,47.182848,2.99,9405,4.0,Games,28120.95
293,Simply Being - Guided Meditation for Relaxation and Presence,100.048896,1.99,2417,4.5,Health & Fitness,4809.83
294,CamCard - Business card scanner & reader,174.839808,0.99,2923,4.5,Business,2893.77
295,This American Life,13.725696,2.99,8657,3.5,Entertainment,25884.43
296,Timetracks - Slit-Scan Camera,11.369472,0.99,70,2.0,Photo & Video,69.3
297,franceinfo - l'actualité & les élections en direct,155.85792,0.0,162,4.0,News,0.0
298,DOUBUTSU URANAI®-Animal Fortune-,38.718464,0.99,5,4.0,Lifestyle,4.95
299,Doodle Army,17.87927,0.99,12354,4.0,Games,12230.46
300,Ameba,96.635904,0.0,269,3.0,Social Networking,0.0
301,eBook: War and Peace,8.039424,3.99,0,0.0,Book,0.0
302,Plants vs. Zombies,105.37984,0.99,426463,5.0,Games,422198.37
303,Weibo,199.585792,0.0,7265,3.5,Social Networking,0.0
304,大众点评-发现品质生活,244.516864,0.0,844,4.0,Lifestyle,0.0
305,AlloCiné : Cinéma et Séries,123.450368,0.0,101,4.0,Entertainment,0.0
306,"Badoo - Meet New People, Chat, Socialize.",157.625344,0.0,34428,4.5,Social Networking,0.0
307,Flick Kick Field Goal,75.61216,1.99,36946,4.5,Games,73522.54
308,Venmo,68.153344,0.0,21090,4.5,Finance,0.0
309,"Dungeons & Such Treasures,Collectibles and Dragons",84.46976,2.99,653,4.5,Games,1952.47
310,"StarMap 3D+: Night Sky, Astronomy, Star View Guide",100.368384,3.99,1118,4.5,Education,4460.820000000001
311,Shift Worker,7.344128,1.99,348,4.0,Productivity,692.52
312,"Spy Calc - Hide pictures, videos, documents",25.097281,1.99,207,3.5,Utilities,411.93
313,Waterlogged - Daily Hydration Tracker,43.439104,0.0,5000,4.5,Health & Fitness,0.0
314,MyNetDiary PRO - Calorie Counter and Food Diary,83.851264,3.99,15188,4.5,Health & Fitness,60600.12
315,The Washington Post Classic,118.980608,0.0,18572,4.5,News,0.0
316,F-Sim Space Shuttle,76.394496,4.99,6403,4.5,Games,31950.97
317,"Groupon - Deals, Coupons & Discount Shopping App",127.382528,0.0,417779,4.5,Shopping,0.0
318,Learn to Speak Spanish Fast With MosaLingua,48.8192,4.99,9,5.0,Education,44.910000000000004
319,"Coaster VR, Extreme Endless 3D Stereograph",30.977024,0.99,107,2.5,Entertainment,105.92999999999999
320,Parents Calling Easter Bunny,8.073209,1.99,72,2.0,Lifestyle,143.28
321,Sporcle,15.676416,2.99,2044,3.5,Games,6111.56
322,"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",81.876992,0.0,16683,3.5,Sports,0.0
323,DOOM II RPG,48.700821,0.99,1455,3.0,Games,1440.45
324,STREET FIGHTER IV,581.353472,4.99,15056,4.0,Games,75129.44
325,Dr. Seuss Camera - The Cat in the Hat Edition,9.906176,0.99,249,4.5,Photo & Video,246.51
326,FINAL FANTASY,114.843648,7.99,6091,4.0,Games,48667.090000000004
327,FINAL FANTASY II,199.450624,7.99,2754,4.0,Games,22004.46
328,Worms 2: Armageddon,529.755136,4.99,9870,4.5,Games,49251.3
329,SoundHound Song Search & Music Player,70.516736,0.0,82602,4.0,Music,0.0
330,Jourist Weltübersetzer,147.06688,7.99,0,0.0,Travel,0.0
331,TeachMe: 1st Grade,90.241024,1.99,762,4.0,Education,1516.3799999999999
332,TeachMe: 3rd Grade,174.268416,1.99,160,4.0,Education,318.4
333,ヤフオク! 利用者数NO.1のオークション、フリマアプリ,187.040768,0.0,9,3.0,Shopping,0.0
334,Kik,151.86432,0.0,260965,4.0,Social Networking,0.0
335,Slow Shutter Cam,4.466688,1.99,2305,4.0,Photo & Video,4586.95
336,PeakFinder Earth,35.478528,4.99,137,4.0,Travel,683.63
337,AgingBooth,31.869952,0.0,11999,4.0,Entertainment,0.0
338,"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",21.771264,1.99,1995,4.5,Photo & Video,3970.05
339,Tabs & Chords by Ultimate Guitar - learn and play,103.049216,2.99,35045,4.5,Music,104784.55
340,"Dude, your car!",40.58624,0.99,343,4.0,Entertainment,339.57
341,Drawing Pad,220.397568,1.99,1824,4.0,Entertainment,3629.7599999999998
342,ESPN Tournament Challenge,69.057536,0.0,39642,4.0,Sports,0.0
343,Solitaire,101.943296,0.0,679055,4.5,Games,0.0
